,Movie name,IMDB Rating,Description,Votes,Metascore,Total Duration (in Minutes)
0,Tenet,7.4,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",447164.0,69.0,150.0
1,The Queen's Gambit,8.6,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",380817.0,,395.0
2,Soul,8.1,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",294048.0,83.0,100.0
3,Wonder Woman 1984,5.4,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",244864.0,,151.0
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,6.1,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",219534.0,,109.0
5,The Invisible Man,7.1,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",204458.0,72.0,124.0
6,A Quiet Place Part II,7.3,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",189288.0,71.0,97.0
7,Extraction,6.7,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",186080.0,,116.0
8,The Trial of the Chicago 7,7.8,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",165443.0,76.0,129.0
9,Ted Lasso,8.8,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",155911.0,,30.0
10,Enola Holmes,6.6,"When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.",155547.0,68.0,123.0
11,The Old Guard,6.7,A covert team of immortal mercenaries is suddenly exposed and must now fight to keep their identity a secret just as an unexpected new member is discovered.,151860.0,70.0,125.0
12,Bad Boys for Life,6.5,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,150825.0,,124.0
13,Promising Young Woman,7.5,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",147736.0,73.0,113.0
14,Palm Springs,7.4,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again.",141284.0,83.0,90.0
15,Nomadland,7.4,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",141233.0,93.0,107.0
16,Mulan,5.7,A young Chinese maiden disguises herself as a male warrior in order to save her father.,140431.0,66.0,115.0
17,Scam 1992: The Harshad Mehta Story,9.5,"Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",135152.0,,54.0
18,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,6.6,"Borat returns from Kazakhstan to America and this time he reveals more about the American culture, the COVID-19 pandemic and the political elections.",133489.0,68.0,95.0
19,Onward,7.4,Two elven brothers embark on a quest to bring their father back for one day.,133321.0,61.0,102.0
20,Druk,7.8,Four high school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,127910.0,79.0,117.0
21,Dil Bechara,8.1,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",126335.0,,101.0
22,I Care a Lot,6.3,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,122098.0,66.0,118.0
23,The Devil All the Time,7.1,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,119707.0,,138.0
24,The Father,8.3,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",117338.0,88.0,97.0
25,Love and Monsters,7.0,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.",115243.0,63.0,109.0
26,Sonic the Hedgehog,6.5,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",113079.0,,99.0
27,Soorarai Pottru,9.1,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",106029.0,,153.0
28,Greenland,6.4,A family struggles for survival in the face of a cataclysmic natural disaster.,105876.0,64.0,119.0
29,The Last Dance,9.1,"Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",103656.0,,491.0
30,The Hunt,6.5,"Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.",95895.0,,90.0
31,Bridgerton,7.3,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",95835.0,,60.0
32,Sadak 2,1.1,"The film picks up where Sadak left off, revolving around the journey with a young girl who becomes an important character in the life of the protagonist, and the reason for him to stay alive.",93596.0,,133.0
33,The Haunting of Bly Manor,7.4,"After an au pair’s tragic death, Henry hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose.",91619.0,,494.0
34,Eurovision Song Contest: The Story of Fire Saga,6.5,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",88885.0,,123.0
35,Greyhound,7.0,"Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.",88542.0,64.0,91.0
36,The Undoing,7.4,"A modern twist to a classical ""whodunnit"" tale, when the life of a wealthy New York therapist turns upside down after she and her family get involved with a murder case.",82817.0,,337.0
37,Spenser Confidential,6.2,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.",82449.0,,111.0
38,Project Power,6.0,"When a pill that gives its users unpredictable superpowers for five minutes hits the streets of New Orleans, a teenage dealer and a local cop must team with an ex-soldier to take down the group responsible for its creation.",82317.0,,113.0
39,News of the World,6.8,"A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.",80845.0,73.0,118.0
40,Hamilton,8.4,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",80625.0,90.0,160.0
41,Dara iz Jasenovca,8.7,Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,80179.0,,130.0
42,The Midnight Sky,5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",79940.0,,118.0
43,I'm Thinking of Ending Things,6.6,"Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.",77673.0,78.0,134.0
44,The Social Dilemma,7.6,"Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",77449.0,78.0,94.0
45,Underwater,5.9,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,75533.0,,95.0
46,"Tiger King: Murder, Mayhem and Madness",7.5,"A rivalry between big cat eccentrics takes a dark turn when Joe Exotic, a controversial animal park boss, is caught in a murder-for-hire plot.",75335.0,,45.0
47,Emily in Paris,6.9,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.,74680.0,,30.0
48,The Outsider,7.7,Investigators are confounded over an unspeakable crime that's been committed.,74632.0,,60.0
49,Bloodshot,5.7,"Ray Garrison, a slain soldier, is re-animated with superpowers.",73471.0,,109.0
50,Coolie No. 1,4.2,"After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire.",72769.0,,134.0
